#T23
#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
# （（））─ 與＝配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[000101] 〔初誦之一〕－【宮】
[000102] 後秦北印度三藏弗若多羅共羅什譯＝姚秦三藏弗若多羅共三藏鳩摩羅什譯【三】【宮】＊
[000103] 〔明〕－【三】，明四波羅夷法之一＝初誦之一【宮】
[000104] 服＝衣【三】【宮】
[000105] 〔民〕－【宮】
[000106] 駃＝疾【三】【宮】＊
[000107] 即＝疾【明】
[000108] （母）＋言【三】【宮】
[000109] 時＋（有）【三】【宮】
[000110] 私屏處＝於私屏【三】【宮】
[000111] （大）＋愁【三】【宮】
[000112] 可＝不【三】【宮】
[000113] 戒＝學【宮】
[000114] 作＝行【三】【宮】
[000115] 得＝是【元】
[000201] 〔汝〕－【宮】
[000202] 〔者〕－【宮】
[000203] 用＝周【宮】
[000204] 所＝若【明】
[000205] 和上＝和尚【三】【宮】下同
[000206] 梨＝黎【明】下同
[000207] （捨）＋同【三】【宮】
[000208] 伎術＝技術【元】【明】下同
[000209] 取＝服【元】
[000210] 根＝人【明】
[000211] 〔便處〕－【宮】
[000301] [金*本]=[(犮-乂+又)/皿]【宮】
[000302] 政＝正【三】【宮】
[000303] 遠＝連【元】
[000304] 其＝女【三】【宮】
[000305] （隱）＋身【三】
[000306] 攝＝[袖-由+聶]【三】【宮】
[000307] 學＝覺【宮】
[000308] 欣＝喜【三】【宮】
[000309] 戒＋（法）【三】【宮】
[000310] 再＝二【三】【宮】
[000311] 持＝將【三】【宮】＊
[000312] （材）＋木【三】【宮】
[000313] 韋＝違【宋】【宮】
[000401] 〔清〕－【宮】
[000402] （汝）＋實【三】【宮】
[000403] 呵＋（責）【三】
[000404] 語＝謂【元】
[000405] 帥＝師【宮】
[000406] 〔即〕－【宮】
