#T24
#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
# （（））─ 與＝配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[009901] 〔大〕－【明】＊
[009902] 而＝時【明】＊
[009903] 尊＋（白言世尊）【明】
[009904] 唯＝惟【明】
[009905] 于＝於【明】
[009906] 揵＝乾【明】
[009907] 辯＝辨【明】
[009908] 性＝情【明】
[009909] 憍＝驕【明】
[009910] 滅＝減【明】＊
[009911] 美＝善【明】
[009912] 奇哉美味＝一說【明】
[009913] 少＝有【明】
[009914] [卄/騰]＝藤【明】＊
[009915] 〔生染著〕－【明】
[010001] 煩＝繁【明】＊
[010002] 實漸小＝其實漸【明】
[010003] 為食＝食為【明】
[010004] 色＝已【明】
[010005] 大＝長【明】
[010006] 採收＝收採【明】
[010007] 捉＝拓【明】
[010008] 摧＝推【明】
[010009] 簡＝揀【明】
[010010] 太＝大【明】
[010011] 立＝位【明】
[010012] [嘗-旨+甘]＝曾【明】
[010013] 〔此名人〕－【明】
[010101] 體＝貌【明】
[010102] 左＝右【明】
[010103] 極＝堅【明】＊
[010104] 〔有〕－【明】
[010105] 〔王〕－【明】
[010106] 慧＝惠【明】＊
[010107] 於＝于【明】
[010108] 〔諸〕－【明】
[010109] 王＝生【明】
[010110] 波＝婆【明】＊
[010111] 勝＝女【明】
[010112] 正＝王【明】＊
[010113] 王＝正【明】＊
[010114] 主＝王【明】
[010115] 〔城〕－【明】
[010116] 〔彌〕－【明】
[010117] 〔名〕－【明】
[010118] 悟＝梧【明】＊
[010201] 普＝怖【明】
[010202] 次名多飲食∞次名難勝【明】
[010203] 次名多飲食∞次名難勝【明】
[010204] 仁＝人【明】＊
[010205] 議＝護【明】
[010206] 生＋（王）【明】
[010207] [跍*月]＝胡【明】
[010208] 〔願仙慈悲令我出家〕－【明】
[010209] 入於＝於入【明】
[010210] 舍＝屋【明】
[010211] 娶＝取【明】
[010212] 意＝適【明】
[010213] 莊飾＝莊嚴【明】
[010214] 侍＝從【明】
[010215] 某＝其【明】
[010301] 何＝住【明】
[010302] 白＝曰【明】
[010303] 知＝之【明】
[010304] 顏＝色【明】
[010305] 支分＝肢肢【明】
[010306] 慾＝欲【明】
[010307] 渧＝滴【明】
[010308] 〔緣〕－【明】
[010309] 於卵＝卵於【明】
[010310] 過＝故【明】
[010311] 而＝時【明】
[010312] 為＝便【明】
[010313] 婆＝波【明】
[010314] 是＝遍【明】
[010315] 人＝仁【明】
[010316] 〔唐云幼小〕－【明】
[010317] 〔經〕－【明】
[010318] 大＝成【明】
[010319] 但＝當【明】
[010320] 〔一〕－【明】
[010321] 〔群臣…女〕十六字－【明】
[010322] 終＝從【明】
[010323] 今如＝如今【明】
[010401] 洒＝灑【明】
[010402] 以＝已【明】＊
[010403] 戲＝觀【明】
[010404] 弶＝殑【明】
[010405] 少＝小【明】
[010406] 許＝計【明】
[010407] 人＝有【明】
[010408] 洒＝灑【明】＊
[010409] 以＝已【明】＊
[010410] 〔今者〕－【明】
[010411] 相共＝共相【明】
[010501] 〔曰〕－【明】
[010502] 〔善〕－【明】
[010503] 怙＝[目*侯]【明】
[010504] 〔羅〕－【明】
[010505] 健＝乾【明】
[010506] 聲＝音【明】
[010507] 往＝住【明】＊
[010508] 占＝瞻【明】＊
[010509] 人＝之【明】
[010601] 國王有一輔＝王國有附【明】
[010602] 討罰＝罰討【明】
[010603] （先）＋告【明】
[010604] 〔時〕－【明】
[010605] 取＝娶【明】
[010606] 種＝族【明】
[010607] 今＝爾【明】
[010608] 〔菩薩生〕－【明】
[010609] 〔思〕－【明】
[010610] 王＝生【明】
[010611] 藏＝臟【明】＊
[010701] 知不＝不知【明】
[010702] 脯＝晡【明】
[010703] 市＝末【明】
[010704] 〔拘〕－【明】
[010705] 輸＝輸【明】
[010706] 囉＝羅【明】＊
[010707] 〔唐云有多毛〕－【明】
[010708] （有）＋如是【明】
[010709] 普＝並【明】
[010710] 〔多〕－【明】
[010711] （如）＋諸【明】
[010712] 赤白＝白赤【明】
[010713] 〔次〕－【明】
[010714] 今＝爾【明】
[010801] 乃＝及【明】
[010802] 振＝震【明】
[010803] 濃＝膿【明】
[010804] 萃＝雜【明】
[010805] 旃＝栴【明】
[010806] 他＝陀【明】
[010807] 鐸＝釋【明】
[010808] 閣＝閤【明】
[010809] 大＝太【明】＊
[010810] 得＝紹【明】
[010811] 輻輪＝輪輻【明】
[010901] 邪[跳-兆+專]＝耶溥【明】
[010902] 〔樹〕－【明】
[010903] 率＝瑟【明】
[010904] 〔已〕－【明】
[010905] 授＝受【明】
[010906] 詔＝制【明】
[011001] 他＝陀【明】＊
[011002] 藥療＝醫藥【明】
[011003] 薄＝婆【明】
[011004] 銷＝消【明】
[011005] 波＝婆【明】
[011006] 槃＝盤【明】＊
[011007] （曰）＋摩【明】
[011008] 馬＋（乘馬）【明】
[011101] 占＝瞻【明】＊
[011102] 以＝已【明】
[011103] 是＝此【明】
[011104] 大＝太【明】＊
[011105] 〔重〕－【明】
[011106] 白＝曰【明】
[011107] [者*見]＝堵【明】
[011108] 〔林〕－【明】
[011109] 擲＝執【明】
[011110] 樹＝相【明】
[011111] 莫＝不【明】
[011112] 簡＝揀【明】
[011113] 嬉＝喜【明】
[011114] 宮內＝內宮【明】
[011114] 賜＝施【明】
[011116] 太＝大【明】
[011201] 曰＝者【明】
[011202] 即＝卿【明】
[011203] 洒＝灑【明】
[011204] 懷＝根【明】
[011205] （雖）＋然【明】
[011206] 遙＝覓【明】
[011207] 〔苑〕－【明】
[011208] 唯＝惟【明】＊
[011209] 遊觀＝觀看【明】
[011210] 步＝立【明】
[011211] 〔人〕－【明】＊
[011301] 〔時〕－【明】
[011302] 私＝思【明】
[011303] 為＝當【明】
[011304] 顧＝願【明】＊
[011305] 一十（老）【明】
[011306] 被＝披【明】＊
[011307] 觀＝戲【明】
[011308] 伎＝妓【明】＊
[011309] 〔諸〕－【明】
[011310] 〔何故〕－【明】
[011311] 聞＝問【明】
[011312] 往＝住【明】
[011313] 植＝殖【明】
[011314] 所＝此【明】
[011401] 〔愚〕－【明】
[011402] 復漸＝漸復【明】
[011403] 〔內〕－【明】
[011404] 金輪＝輪王【明】
[011405] 〔故〕－【明】
[011406] 聞四＝四聞【明】
[011407] 嚴＋（加）【明】
[011409] 〔樓〕－【明】
[011409] 女＝人【明】
[011410] 淨＝飯【明】
[011501] 語＝言【明】
[011502] 思＝恩【明】
[011503] （日）＋夜【明】
[011504] 伎＝妓【明】＊
[011505] 〔頭〕－【明】
[011506] 深宮＝宮內【明】
[011507] 四＝三【明】
[011508] 〔人四…羅〕十七字－【明】
[011509] 〔於〕－【明】
[011510] 南＝北【明】
[011601] 外＝門【明】
[011602] 授＝發【明】
[011603] 拘＝居【明】
[011604] 能＝令【明】
[011605] 劫比＝比劫【明】
[011606] 悟＝寤【明】
[011607] 近＝延【明】＊
[011608] 出＝去【明】
[011609] 知＝能【明】
[011610] 爾＝是【明】
[011611] 〔王〕－【明】
[011612] 證＝登【明】
[011613] 〔啼〕－【明】
[011614] （今）＋欲【明】
[011615] 徒＝從【明】
[011615] 推＝椎胸【明】
[011701] 去＝告【明】
[011702] 內宮＝宮內【明】
