#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[000101]01 〔四阿鋡暮抄〕－【宮】
[000102]02 鋡＝含【三】＊
<000101>＊ 鋡＝含【三】
[000103]03 逕＝經【三】【宮】
<000102>＊ 鋡＝含【三】
[000104]04 複＝復【宋】【元】【宮】
[000105]05 因＝困【宮】
[000106]06 梵＝胡【宮】＊
[000107]07 三＝二【三】【宮】
<000103>＊ 梵＝胡【宮】
[000108]08 〔章〕－【三】【宮】
[000109]09 鋡＝含【三】【宮】
[000110]10 〔第一〕－【明】
[000111]11 〔卷上〕－【宮】
[000112]12 〔阿羅漢…撰〕八字－【宮】＊
[000113]13 西域三藏＝沙門【三】【宮】＊
<000104>＊ 鋡＝含【三】
[000114]14 相＝想【三】【宮】＊
[000115]15 懷＝壞【三】【宮】
[000116]16 恚＋（味）【三】【宮】
[000117]17 著＝者【宋】
[000118]18 進行＝著所【三】【宮】
[000119]19 聖＝聽【宮】
[000120]20 相＝想【元】【明】
[000121]21 知＝智【宋】【元】【宮】
[000122]22 深＝染【三】【宮】
[000123]23 復復＝復次【宮】
[000124]24 盧＝蘆【宋】【元】
[000125]25 妒＝如【宮】
[000126]26 吉＝去【三】【宮】
[000127]27 食＝施【明】
[000128]28 象＝像【三】【宮】
[000129]29 〔是〕－【三】【宮】
[000130]30 作＝所【三】【宮】
[000131]31 〔應〕－【三】【宮】
[000201]01 失＝共【宮】
[000202]02 譬＋（如）【三】【宮】
[000203]03 歡＝惟【宮】
[000204]04 苦＝若【三】【宮】＊
[000205]05 愛＝受【宮】
[000206]06 敏＝[敏/心]【三】【宮】
<000201>＊ 相＝想【三】【宮】
[000207]07 無＝如【宋】【宮】
[000208]08 加＝如【三】【宮】
[000209]09 欣＝彼【宮】
[000210]10 能＝報【三】【宮】
[000211]11 不＝下【宮】
[000212]12 唯＝惟【三】【宮】
[000213]13 下＝不【宮】
[000214]14 鋡＝含【三】
[000215]15 秦＝此【明】＊
[000216]16 即＝則【三】【宮】
[000217]17 奔＋（奔）【三】【宮】
[000301]01 何＝阿【三】【宮】
[000302]02 〔等書〕－【三】【宮】
[000303]03 象＝像【三】【宮】
[000304]04 書＝盡【三】【宮】
[000305]05 納五＝五納【宋】【明】，五內【元】，納內【宮】
[000306]06 衣＝依【明】
[000307]07 [口*(葵-天+示)]＝嗏【元】【明】
[000308]08 止＝上【三】【宮】
[000309]09 [鳥*奏]＋（昧）【三】【宮】
[000310]10 〔青搆反〕－【明】
[000311]11 搆＝媾【宋】【元】【宮】
[000312]12 榜＝[旁*毛]【三】
[000313]13 [卄/真]麻＝[卄/貢]磨【三】【宮】
[000314]14 〔[這-言+(茼-一)]布庫打反〕－【明】，[這-言+(茼-一)]＝苟【宮】
[000315]15 遇＝過【三】【宮】
[000316]16 許＝計【三】【宮】＊
[000317]17 二＝三【三】【宮】
[000318]18 坻＝抵【宮】
[000319]19 〔今[爵-(采-木)+(樊-大)]反〕－【明】
[000320]20 利＝犁【三】，梨【宮】
[000321]21 當＝常【三】【宮】
[000322]22 跏＝加【宋】【元】【宮】
[000323]23 念＝食【宮】
[000324]24 得＝偈【三】【宮】
[000325]25 後＝復【三】【宮】
[000326]26 相＝想【宮】
[000401]01 聖諦＝四諦【明】
[000402]02 將＝獎【三】【宮】
[000403]03 是有＝有是【明】
[000404]04 （於）＋其【三】【宮】
[000405]05 秦＝此【明】
[000406]06 未＝末【三】【宮】
<000401>＊ 鋡＝含【三】
[000407]07 〔也〕－【三】【宮】
[000408]08 揵＝犍【三】【宮】
[000409]09 〔說〕－【明】
[000410]10 言＝語【明】
[000411]11 刀＝力【三】【宮】
[000412]12 鳥＝息【宮】
[000413]13 差＝瘥【三】【宮】＊
[000414]14 侯＝隻【三】
<000402>＊ 差＝瘥【三】【宮】
[000415]15 燥末＝煙未【宮】
[000416]16 〔行〕－【三】【宮】
[000417]17 三念＝念經【三】
[000418]18 何＝可【三】【宮】
[000419]19 癡＝廢【三】【宮】
