#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[000101]01  中論卷第一＝中論序【三】
[000102]02  （姚秦沙門）＋釋【明】
[000103]03  序＝撰【三】
[000104]04  析＝折【明】
[000105]05  坦＝理【三】
[000106]06  〔而〕－【三】
[000107]07  〔今〕－【三】
[000108]08  伽羅＝羅伽【三】
[000109]09  耳字次行明本有中論序三字
[000110]10  中論觀因緣品＝中論卷【三】，中論 Madhyamika-suutra or Muulmadhyamakakaarikaa.
[000111]11  觀因緣品 Pratyayapariik.saa－(prakara.na).
[000112]12  〔十六偈〕－【三】
[000113]13  龍樹 Naagaarjuna.
[000114]14  〔梵志青目釋〕－【三】＊
[000115]15  三藏＋（法師）【三】＊
[000116]16  不字前行宋本元本中觀論破因緣品第一九字，明本有破因緣品第一六字，歸敬頌 Aniro ham anutpaadam anucchedam a`saa`svata.m, Anekaartham anaanaartham anaagamam anirgamam Ya.h pratiityasamu paadam prapa~nco pa`samam `siva.m, De`sayaamaasa sambuddhast .mvande vadaata.m vara.m.（不生. Anutpaada, 不滅. Anirodha, 不常. Asas ata, 不斷. Anucc eda, 不一. Anekaartha, 不異. Anaanaastha, 不來. Anaagama, 不出. Anirgama, 因緣. Pratiityasamutpaada, 戲論. Prapo~nca, 諸說中＝諸說法者中. Vadataa.m）
[000117]17  變＋（化）【三】
[000118]18  等謬故墮＝謬墮【三】
[000119]19  疑見＝見疑【三】
[000120]20  佛＋（已）【三】
[000121]21  諸＝謂【三】
[000122]22  〔從〕－【三】
[000201]01  則＝即【三】
[000202]02  第一偈. Na svato naapi parato na dvaabhya.m naapy ahetuta.h, Utpannaa jaatu vidyante bhaavaa.h ke cana.（自＝從自. Svata.h, 他＝從他, Parata.h, 共＝從自他共. Dvaabhaa.m, 無因. Ahetu）.
[000203]03  因＋（緣）【三】
[000204]04  是則為＝則為是【三】
[000205]05  第二偈. Na hi vabhaavo bhaavaanaa.m pratyayaadi.su vidyante, Avidyaamane svabhaave parabhaavo na vidyate.（自性. svabhaava, 他性. Parabhaavo）.
[000206]06  性＝生【三】
[000207]07  〔自〕－【三】
[000208]08  句＝緣【元】【明】
[000209]09  因緣. Hetu-p ralyaya.; 次第緣. Anantara-p.; 緣緣. AAlambana-p.; 增上緣. Abhipateya.
[000210]10  第四偈. Kriyaa na pratyayavatii naapratyayatii kriyaa, Pratyayaa naakriyaavanta.h kriyaavanta`s ca santy uta.
[000211]11  第五偈. Utpadyate pratiityemaan itiime pratyayaa.h kila, Yaavan notpadyata ime taavan naapratyayaa.h katha.m.
[000212]12  第六偈. Naivaasato naiva sata.h pratyayo' rthasya yujyate, Asata.h pratyaya.hkasya sata`s ca pratyayeba ki.m.
[000301]01  第七偈. Na san naasan na sadasan dharmo nirvartate yadaa, katha.m nirvartako hetur eva.msati hi yujyate.（有. Sat, 無. Asat, 緣. Hetu）.
[000302]02  應與非＝緣與無【三】
[000303]03  第八偈. 梵. 第九偈. Anutpanne.su dharme.su nirodho no'papadyate, Naanantaram ato kta.m niruddhe pratyaya`s ca kah.
[000304]04  〔心〕－【三】＊
<000301>＊  〔心〕－【三】
[000305]05  〔法〕－【三】
[000306]06  第九偈. 梵. 第八偈. Anaalambana evaaya.m san dharma upadi.syate, Athaanaalambane dharme kuta aalambana.m puna.h-（真實微妙法. 梵. san dharma）.
[000307]07  第十偈. Bhaavaana.m ni.hsvabhaavaanaa.m na sattaa vidyate yata.h, Satiidam asmin bhavatiity etan naivopapadyate.（有相. Sattaa）.
[000308]08  說＋（緣）【三】
[000309]09  第十一偈. Na ca vyasta-samaste.su pratyaye.sv asti tat phala.m, Pratyayebhya.h kath.m tac ca bhaven na pratyaye.su yat.（略廣. vyasta-samasta; 果. phala）.
[000310]10  第十二偈. Athaasad api tat tebhya.h pratyayebhya.h pravartate, Apratyayebhyo' pi kas maan naabhipravartate phala.m.
[000311]11  泥＝[泥/土]【宋】【元】
[000312]12  第十三偈. Phala.m ca pratyamaya.m pratyayaa`s caa' svaya.mmayaah phalam asvamayebhyo yat tat pratyayamaya.m katha.m（無自性. 梵. Asvamaya）.
[000313]13  第十四偈. Tasmaan na pratyayaymaya.m naapratyayamaya.m phala.m, Sa.mvidyate phalaabhaavaat pratyayaapratyayaa.h kuta.h（從緣生, pratyayamaya）.
[000314]14  中論觀＝中觀論破【宋】【元】＊，破【明】＊
[000315]15  觀去來品. Gataagata-pariik.saa.
[000316]16  〔二十五偈〕－【三】
[000317]17  第一偈. Gata.m na gamyate taavad agata.m naiva gamyate, Gataagata-vinirmukta.m gamyamaana.m na gamyate（已去. Gata; 去. gamyate; 未去. Agata; 去時. Gamyamaana）.
[000318]18  第二偈. Ce.s.taa yatra gatis tatra gamyamaane ca saa yata.h, Na gate naagate ce.s.taa gamyamaanegatis tata.h:（動. ce-.s.taa; 去. gati）.
[000401]01  第三偈. Gamyamaanasya gamana.m katha.m naamo' papatsyate, Gamyamaana.m hy agamana.m yadaa naivo'papadyate,（後半偈. Candrakiirti`s Prasannapadaa: gamyamaane dvigamana.m yadaa naivopapadyate）.
[000402]02  〔法〕－【三】
[000403]03  第四偈.（Gamyamaanasya gamana.myasya tasya pra.sajyate, .Rte gater gamyamaana.m gamyamaana.m hi gamyate.
[000404]04  第五偈. Gamyamaanasya gamane prasaktam gamanadvaya.m, Yena tad gamyamaanam ca yac caatra gamana.m puna.h.
[000405]05  第六偈. Dvau gantaaran prasajyete prasakte gamanadvaye, Gartaara.m hi tirask.rtya gamana.m nopapadyate.（去者. Gant.r）.
[000406]06  第七偈. Gantaara.m cet tirask.rtya gamana.m nopapadyate, Gamane' sati gantaatha kuta eva bhavi.syati.
[000407]07  第八偈. Ganti na gacchati taavad agantaa naiva gacchati, Anyo gantur agantu`s ca kas t.rtiiyo hi gacchati.（不去. na gacchati）.
[000408]08  〔若〕－【三】
[000409]09  〔去者〕－【三】
[000410]10  第九偈. Gantaa taa ad gacchatiiti katham evopapatsyate, Gamanenavinaa gantaa yadaa naivopaoadyate.
[000411]11  第十偈. 梵. 第十一偈. Gamane dve prasajyete gantaa yady uta gacchati, Ganteti cocyate ycna gantaa san yacca gacchati.
[000412]12  第十一偈. 梵. 第十偈. Pak.so gantaa gacchatiit yasya tasya prasajyate, Gamanena vinaa gantaa gantur gamanam icchata.h.
[000413]13  然＝爾【三】
[000414]14  〔是故…者〕九字－【三】
[000415]15  〔中〕－【三】
[000416]16  第十二偈. Gate naarabhyate gantu.m gantu.m naarabhyate' gate, Naarabhyate gamyamaane gaatum aarabhyte kuha.（發. Gantu.m）.
[000417]17  〔以〕－【三】
[000418]18  第十三偈. Na puurva.m gamanaarambhaad gamyamaana.m na vaa gata.m, Yatraarabhyeta gamanam agate gamana.m kuta.h.
[000419]19  第十四偈. Gata.m ki.m gamyamaana.m kim agata.m ki.m vikalpyate, Adr`syamaana aarambhe gamanasyaiva sarvathaa.（發. gamanasya aarambha）
[000420]20  第十五偈. Gantaa na ti.s.thati taavad agantaa naiva ti.s.thati, Anyo gantur agantu`s ca kas t.rtiiyotha ti.s.thati.（住. ti.s.thati）.
[000421]21  事＝皆【三】
[000501]01  者＝去【宋】
[000502]02  第十六偈. Gantaa taavat ti.s.thatii 'ti katham evopapatsyate, Gamanena vinaa gantaa yadaa naivopapadyate.
[000503]03  第十七偈. Na ti.s.thati gamyamaanaan na gataan naagataad api, Gamanam sa.mprav.rtti`s niv.rtti`s ca ca gate.h samaa.（行. Sampra v.rtti-gamana; 止. Nivrtti-gamana）.
[000504]04  〔法〕－【三】
[000505]05  穀＝豰【元】
[000506]06  第十八偈. Yad eva gamana.m gantaa sa eveti na yujyate, Anyaeva punar gantaa gater iti na yujyate.
[000507]07  過＝咎【三】
[000508]08  第十九偈. Yad eva gamana.m gantaa sa eva hi bhaved yadi. Ehiibhaava.h prasajyeta kartu.h karma.na eva ca.（作者. Kart.r; 作業. Karman）.
[000509]09  第二十偈. Anya eva punar gantaa gater yadi vikalpyate, Gamana.m syaad .rte gantur gantaa syaad gamanaad .rte.
[000510]10  〔為〕－【三】
[000511]11  常＋（故）【宋】【元】，(去）【明】
[000512]12  俱＋（應）【三】
[000513]13  第二十一偈. Ekiibhaavena vaa siddhir naanaabhaavena vaa yayo.h, Na vidyate tayo.h siddhi.h katham nu khalu vidyate.（み Ekiibhaava; 異, Naanaabhaava; 成, Siddhi）.
[000514]14  若＝應【三】＊
<000501>＊  若＝應【三】
[000515]15  第二十二偈. Gatyaa yayo' cyate gantaa gati.m taa.m sa na gacchati, yasmaan na gatipuurvo 'sti ka `scit kimcid dhi gacchati.
[000516]16  去＋（去）【三】
[000517]17  起＝趣【三】
[000518]18  第二十三偈. Gatyaa yayo' cyate gantaa tato 'nyaa.m sa na gacchati, Gatii dve no' papadyete yasmadeke pragacchati.
[000519]19  第二十四偈. Sadbhuuto gamana.m gantaa triprakaara.m na gacchati, Na 'sadbhuuto 'pi gamana.m triprakaaramm sa gacchati.（決定有去者. Sadbhuuta-gant.r）
[000520]20  第二十五偈. Gamana.m sad-asad-bhuuta.h. triprakaara.m na gacchati, Tasmad gati`s ca gantaa ca gantavva.m ca na vidyate.（所去處. Gantavya.m）
[000521]21  〔本〕－【三】
[000522]22  〔種〕－【三】
[000523]23  〔者〕－【三】
<000502>＊  中論觀＝中觀論破【宋】【元】，破【明】
[000524]24  觀六情品. 梵. Cak.suraadiindriyapariik.saa.
[000525]25  〔八偈〕－【三】
[000601]01  眼，耳，鼻，舌，身，意 Dar`sana, `Srava.na, Ghraa.na, Rasana, Spar`sana, Manas.
[000602]02  情，Indriya.
[000603]03  色，梵 Dra.s.tavya. （可見）
[000604]04  塵，Gocara.
[000605]05  如＋（是）【三】
[000606]06  〔何以故〕－【三】
[000607]07  見，Dar`sana.
[000608]08  見者，Dra.s.t.r.
[000609]09  眼＝目【三】
[000610]10  可見，Dra.s.tavya.
[000611]11  識，Vij~naana.
[000612]12  取，Upaadaana.
[000613]13  〔等〕－【三】
<000601>＊  中論觀＝中觀論破【宋】【元】，破【明】
[000614]14  觀五陰品，Skandha-pariik.saa.
[000615]15  〔九偈〕－【三】
[000616]16  色因，Rupakarana.
[000617]17  無因，Ahetuka.
[000618]18  法＝色【三】
[000619]19  神＝識【三】
[000620]20  無果因，Akaarya-kaara.na.
[000621]21  〔是〕－【三】
[000622]22  〔得〕－【三】
[000701]01  〔智者〕－【三】
[000702]02  似，Saad.r`sa.m.
[000703]03  〔出〕－【三】
[000704]04  受，Vedanaa.
[000705]05  想，Sa.mj~naana.
[000706]06  行，Sa.mskaara.
[000707]07  識，Citta.
[000708]08  〔又〕－【三】
[000709]09  空，Suunya-taa.
[000710]10  議＝義【三】
[000711]11  〔以〕－【三】
[000712]12  尚＝常【三】
[000713]13  ◎卷第一終【明】
[000714]14  ◎卷第二首【明】，造號釋號譯號同異如首卷【明】，中論觀＝中觀論破【宋】【元】，破【明】
[000715]15  觀六種品. Dhaatu-pariik.saa.
[000716]16  〔八偈〕－【三】
[000717]17  空相，AAkaa`sa-lak.sa.na.
[000718]18  虛空，AAkaa`sa.
[000719]19  無相，Alak.sa.na.
[000720]20  [古*頁]＝壺【三】
[000721]21  〔若〕－【三】
[000722]22  〔法〕－【三】
[000723]23  可相，Lak.sya.
[000724]24  物，Bhaava.
[000725]25  以火為＝有【三】
[000726]26  第六偈. Avidyamaane bhaave ca kasyaa 'bhavobhavisyati. Bhaavabhaavavidharmaa ca bhaava-bhaavam avaiti ka.h.（有, Bhaava; 無, Abhaava）.
[000727]27  有＝在【三】
[000728]28  見耳＝耳見【三】
[000729]29  〔有〕－【三】
[000730]30  〔者〕－【三】
[000731]31  因＋（緣）【三】
[000801]01  滅見安隱法，Dra.s.tavyopa`samam `siva.m.
[000802]02  中論觀＝中觀論破【宋】【元】，破【明】
[000803]03  觀染染者品，Raaga-raktapariik.saa.
[000804]04  〔十偈〕－【三】
[000805]05  染法，Raaga.
[000806]06  染者，Rakta.
[000807]07  者＝法【三】
[000808]08  染＝法【元】【明】
